timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540469365224,2620,Get,200,,Spike Test (get) 2-26,text,true,,99397,171,17,117,2618,0,0
1540469365813,2115,Get,200,,Spike Test (get) 2-25,text,true,,99397,171,16,116,2113,0,1
1540469365792,2182,Get,200,,Spike Test (get) 2-16,text,true,,99397,171,15,115,2180,0,0
1540469365556,2474,Get,200,,Spike Test (get) 2-1,text,true,,99397,171,14,114,2472,0,0
1540469366739,1398,Get,200,,Spike Test (get) 2-4,text,true,,99397,171,13,113,1343,0,0
1540469366564,1608,Get,200,,Spike Test (get) 2-15,text,true,,99397,171,12,112,1607,0,1
1540469366518,1670,Get,200,,Spike Test (get) 2-7,text,true,,99397,171,11,111,1640,0,1
1540469366030,2181,Get,200,,Spike Test (get) 2-13,text,true,,99397,171,10,110,2133,0,1
1540469367826,435,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,9,109,432,0,1
1540469366172,2108,Get,200,,Spike Test (get) 2-20,text,true,,99397,171,9,109,2096,0,1
1540469366346,1945,Get,200,,Spike Test (get) 2-19,text,true,,99397,171,8,108,1943,0,1
1540469366892,1598,Get,200,,Spike Test (get) 2-6,text,true,,99397,171,7,107,1595,0,0
1540469366648,1863,Get,200,,Spike Test (get) 2-2,text,true,,99397,171,6,106,1860,0,1
1540469366369,2204,Get,200,,Spike Test (get) 2-17,text,true,,99397,171,5,105,2187,0,0
1540469366834,1865,Get,200,,Spike Test (get) 2-5,text,true,,99397,171,4,104,1863,0,1
1540469366454,2291,Get,200,,Spike Test (get) 2-3,text,true,,99397,171,3,103,2290,0,0
1540469364910,4171,Get,200,,Spike Test (get) 2-14,text,true,,99397,171,2,102,4169,0,0
1540469368261,967,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,964,0,0
1540469369228,830,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,828,0,0
1540469370058,558,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,556,0,1
1540469370616,412,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,410,0,0
1540469371028,158,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,149,0,0
1540469371186,164,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,163,0,0
1540469371350,489,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,486,0,0
1540469371839,138,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,135,0,0
1540469371977,164,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,74,0,0
1540469372141,73,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,70,0,1
1540469372214,36,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,33,0,0
1540469372250,520,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,518,0,0
1540469372770,312,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,310,0,0
1540469373082,120,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,118,0,0
1540469373202,97,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,94,0,0
1540469373299,63,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,58,0,0
1540469373362,290,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,289,0,0
1540469373652,311,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,309,0,0
1540469373963,1056,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,1053,0,0
1540469375019,358,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,355,0,1
